	AAPL	Stock Price	Cash	Portfolio Value
2015-12-07	-100	116.2997	33631.1345	22001.1645
2015-12-08	0	116.250541	22006.0804	22006.0804
2015-12-09	0	113.68423899999999	22006.0804	22006.0804
2015-12-10	0	114.225026	22006.0804	22006.0804
2015-12-11	-100	111.28508799999999	33134.5892	22006.080400000003
2015-12-14	0	110.59681100000002	22074.9081	22074.9081
2015-12-15	100	108.640123	11210.8958	22074.9081
2015-12-16	0	109.47588999999999	22158.4848	22158.4848
2015-12-17	0	107.155409	22158.4848	22158.4848
2015-12-18	0	104.254795	22158.4848	22158.4848
2015-12-21	100	105.533033	11605.181499999999	22158.4848
2015-12-22	100	105.434708	11605.181499999999	22148.652299999998
2015-12-23	0	106.791601	22284.3416	22284.3416
2015-12-24	0	106.22131	22284.3416	22284.3416
2015-12-28	100	105.03156899999999	11781.184700000002	22284.3416
2015-12-29	100	106.919422	11781.184700000002	22473.126900000003
2015-12-30	0	105.523198	22333.504500000003	22333.504500000003
2015-12-31	0	103.49769	22333.504500000003	22333.504500000003
