	GOOG	Stock Price	Cash	Portfolio Value
2015-07-07	0	525.02002	69654.79639999998	69654.79639999998
2015-07-08	100	516.830017	17971.794699999977	69654.79639999998
2015-07-09	0	520.679993	70039.79399999997	70039.79399999997
2015-07-10	0	530.130005	70039.79399999997	70039.79399999997
2015-07-13	100	546.549988	15384.795199999964	70039.79399999997
2015-07-14	100	561.099976	15384.795199999964	71494.79279999997
2015-07-15	0	560.219971	71406.79229999997	71406.79229999997
2015-07-16	100	579.849976	13421.794699999977	71406.79229999997
2015-07-17	100	672.929993	13421.794699999977	80714.79399999997
2015-07-20	100	663.02002	13421.794699999977	79723.79669999998
2015-07-21	100	662.299988	13421.794699999977	79651.79349999997
2015-07-22	100	662.099976	13421.794699999977	79631.79229999997
2015-07-23	100	644.280029	13421.794699999977	77849.79759999998
2015-07-24	100	623.5599980000001	13421.794699999977	75777.79449999999
2015-07-27	100	627.26001	13421.794699999977	76147.79569999997
2015-07-28	100	628.0	13421.794699999977	76221.79469999997
2015-07-29	0	631.929993	76614.79399999997	76614.79399999997
2015-07-30	0	632.590027	76614.79399999997	76614.79399999997
2015-07-31	0	625.6099849999999	76614.79399999997	76614.79399999997
2015-08-03	-100	631.210022	139735.79619999995	76614.79399999997
2015-08-04	0	629.25	76810.79619999995	76810.79619999995
2015-08-05	-100	643.780029	141188.79909999995	76810.79619999995
2015-08-06	0	642.679993	76920.79979999995	76920.79979999995
2015-08-07	-100	635.299988	140450.79859999995	76920.79979999995
2015-08-10	0	633.72998	77077.80059999996	77077.80059999996
2015-08-11	100	660.780029	10999.797699999952	77077.80059999996
2015-08-12	100	659.5599980000001	10999.797699999952	76955.79749999996
2015-08-13	100	656.450012	10999.797699999952	76644.79889999995
2015-08-14	100	657.119995	10999.797699999952	76711.79719999996
2015-08-17	0	660.869995	77086.79719999996	77086.79719999996
2015-08-18	0	656.130005	77086.79719999996	77086.79719999996
2015-08-19	-100	660.900024	143176.79959999997	77086.79719999997
2015-08-20	-100	646.830017	143176.79959999997	78493.79789999998
2015-08-21	-100	612.47998	143176.79959999997	81928.80159999998
2015-08-24	0	589.6099849999999	84215.80109999998	84215.80109999998
2015-08-25	0	582.0599980000001	84215.80109999998	84215.80109999998
2015-08-26	0	628.619995	84215.80109999998	84215.80109999998
2015-08-27	-100	637.6099849999999	147976.79959999997	84215.80109999998
2015-08-28	-100	630.380005	147976.79959999997	84938.79909999997
2015-08-31	-100	618.25	147976.79959999997	86151.79959999997
2015-09-01	-100	597.789978	147976.79959999997	88197.80179999996
2015-09-02	-100	614.340027	147976.79959999997	86542.79689999997
